signal,subsection,probe,why,status,finding,evidence,gap,risk,doc_quality
Visibility,Audit Logging,Are admin actions logged separately from application stdout?,"If administrative events (key creation, instance deletion, permission changes) are mixed into the same stream as container stdout, you can't build reliable detection rules. An attacker deleting an instance looks the same as a noisy application logger.",unknown,,,,,
Visibility,Audit Logging,What is the audit log schema? Is it documented?,"Without a known schema, you can't write parsers, build dashboards, or create alerting rules. You're flying blind on what fields exist.",unknown,,,,,
Visibility,Audit Logging,What is the retention period? Is it configurable?,"Most compliance frameworks require 12+ months. Some neocloud providers retain for 6 months or less. If you can't configure it, you may fail audits.",unknown,,,,,
Visibility,Audit Logging,"Can you export logs to external systems (S3, SIEM, webhook)?",Platform-native log viewers are fine for debugging but insufficient for incident response. You need logs in your own systems where you control retention and can correlate across platforms.,unknown,,,,,
Visibility,Audit Logging,Are logs immutable? Can an admin (or compromised key) delete them?,"If the same key that can delete infrastructure can also delete the logs recording that deletion, you have no forensic trail.",unknown,,,,,
Visibility,Audit Logging,Is there real-time log streaming or alerting?,"If you can only view logs through a web console with no streaming API, your mean time to detect is however often someone manually checks the console.",unknown,,,,,
Visibility,Audit Logging,"Do logs capture the identity (key ID, user, role) that performed each action?","""Something was deleted"" is less useful than ""key rpa_abc123 associated with user jane@corp.com deleted serverless endpoint X at 14:32 UTC.""",unknown,,,,,
Visibility,Application Logging,Where do container stdout/stderr go?,"Understanding the log pipeline helps you know what's captured, what's dropped, and whether sensitive data in application logs is being stored somewhere you don't control.",unknown,,,,,
Visibility,Application Logging,Can you disable or filter application log capture?,"If your application logs contain sensitive data (tokens, PII), and the platform captures everything, that data now lives in the platform's log storage.",unknown,,,,,
Visibility,Application Logging,Is there a distinction between log levels/streams?,"Some platforms capture only stdout, dropping stderr. Others capture both but can't distinguish them. This matters for error detection.",unknown,,,,,
Identity Granularity,Roles & Permissions,How many distinct roles exist? What can each one do?,"Two roles with identical permissions (a common shape: Admin and Member both able to create keys, launch instances, terminate workloads) means RBAC is cosmetic.",unknown,,,,,
Identity Granularity,Roles & Permissions,Can you create custom roles?,"Without custom roles, you're limited to the vendor's idea of what permission boundaries matter. If the gap between ""read-only"" and ""full admin"" is too wide, you can't express real-world access patterns.",unknown,,,,,
Identity Granularity,Roles & Permissions,Is there a role that can restart/reboot but not create or delete?,"This is a practical litmus test. ""Restart a stuck GPU pod but don't provision $10k/day of H100s"" is a common real-world need. If you can't express it, your operators have more power than they should.",unknown,,,,,
Identity Granularity,Roles & Permissions,"Are role permissions documented with specificity, or just labels?","A role called ""Developer"" tells you nothing. A role documented as ""can call POST /instances, DELETE /instances, GET /instances but not POST /api-keys or PUT /team/members"" tells you everything.",unknown,,,,,
Identity Granularity,Credential Inventory,How many distinct credential types exist on this platform?,"""API keys"" is usually not one thing. A platform might have: management API keys (control plane), endpoint invocation keys (data plane), storage access keys, container registry credentials, SSH keys, pod-scoped tokens, and more. Each has a different blast radius, lifecycle, and transmission mechanism. If you treat them as one category you'll miss the security boundaries between them — or discover there aren't any.",unknown,,,,,
Identity Granularity,Credential Inventory,For each credential type: does it grant control plane or data plane access?,"This is the most important classification. A key that can invoke a serverless endpoint (data plane) is a different risk than a key that can delete infrastructure (control plane). On some neocloud platforms, the same key does both. On others, data plane keys and control plane keys are genuinely separate — which is good. Map each credential to what it can actually touch.",unknown,,,,,
Identity Granularity,Credential Inventory,For each credential type: how is it transmitted?,"Keys in URL query parameters (`?api_key=...`) appear in server logs, browser history, referrer headers, and proxy logs. Keys in Authorization headers are significantly less exposed. Different APIs on the same platform may use different transmission mechanisms — one API might use Bearer headers while another puts keys in the URL. Check each one.",unknown,,,,,
Identity Granularity,Credential Inventory,For each credential type: does it expire? Can you rotate it?,Long-lived keys with no expiration are credentials that work forever if leaked. Automated rotation requires programmatic expiration. Zero-downtime rotation requires overlapping validity periods. Check each credential type independently — storage keys may have different lifecycle controls than management keys.,unknown,,,,,
Identity Granularity,Credential Inventory,Are there auto-generated credentials you didn't create and can't revoke?,"Some platforms inject pod-scoped or instance-scoped keys automatically. If you didn't create them, you may not know their permissions or lifecycle. These are easy to miss in a credential inventory because they don't show up in the key management UI.",unknown,,,,,
