platform,priority,control,rationale,how_to_check,pass_criterion,current_state,remediation,owner,evidence
GCP,P0,Enable Data Access (DATA_READ) audit logs on IP-bearing services + immutable org-level log sink,"Admin Activity logs are always-on, but Data Access logs — the only record of who READ a Cloud Storage object, Secret Manager secret, or model artifact — are OFF by default for every service except BigQuery. Without them, read-based exfiltration of source/model weights leaves no trace.","gcloud organizations get-iam-policy ORG_ID --format=json | jq '.auditConfigs' (expect DATA_READ/DATA_WRITE enabled for storage.googleapis.com, secretmanager.googleapis.com, aiplatform.googleapis.com, artifactregistry.googleapis.com); confirm an aggregated org-level Log Router sink to a locked Cloud Storage bucket and/or Google Security Operations; confirm the _Default bucket retention is extended past 30 days.","Data Access (DATA_READ at minimum) audit logs are enabled via IAM auditConfigs on every service holding IP, exported by an aggregated org sink to a retention-locked bucket / Chronicle, with retention >=400 days.",,Set auditConfigs at the org level for the IP-bearing services; create an aggregated sink (folder/org) an attacker in one project cannot disable; enable a locked log bucket (bucket lock) for tamper resistance; size ingestion cost and scope DATA_READ to sensitive services.,,
GCP,P0,Enforce a VPC Service Controls perimeter around the projects and services holding IP,VPC Service Controls is GCP's marquee anti-exfiltration control: it blocks data egress to projects/identities outside the perimeter even with valid stolen credentials. It is opt-in and must be ENFORCED (not dry-run) and must cover the exact IP-bearing services.,"gcloud access-context-manager perimeters list; describe the perimeter (status, not spec, = enforced) and confirm restrictedServices includes storage.googleapis.com, bigquery.googleapis.com, aiplatform.googleapis.com, artifactregistry.googleapis.com, secretmanager.googleapis.com; review ingress/egress rules for over-broad allows.","An enforced (not dry-run) service perimeter encloses all projects holding IP, restricts the IP-bearing services, and has tightly-scoped ingress/egress rules; access levels gate trusted networks/identities.",,"Stand up the perimeter in dry-run first to surface breakage, tune ingress/egress rules, then enforce; add access levels for corp networks; verify Vertex AI / Artifact Registry are in restrictedServices; pair with restricted.googleapis.com VIP + Private Google Access.",,
GCP,P0,Eliminate service-account JSON keys; adopt Workload Identity Federation with tight attribute conditions,"Long-lived SA JSON keys never expire and are GCP's top credential-theft vector. WIF removes them for CI/CD and external workloads — but an over-broad provider attribute condition (e.g. trusting an entire GitHub org, or pull_request-from-fork) is a confused-deputy hole.","Check org policy: gcloud org-policies describe iam.managed.disableServiceAccountKeyCreation --organization=ORG_ID (and disableServiceAccountKeyUpload) = enforced; inventory existing keys (SA key age); for each WIF provider, review attributeCondition for an exact repository/branch match (assertion.repository, assertion.ref) and that pull_request events from forks cannot mint tokens.","SA key creation/upload disabled org-wide; no human or CI uses a downloaded JSON key; every WIF provider pins an exact subject/attribute condition (no wildcard org trust, fork PRs excluded).",,Enforce the key-creation/upload constraints; migrate CI to WIF (GitHub Actions OIDC -> impersonate a least-privileged SA); tighten attributeCondition to assertion.repository==exact and guard ref/event; rotate out and delete existing keys.,,
GCP,P0,"Stamp out basic roles and the default-SA Editor grant — including on orgs created before May 3, 2024","Basic roles (Owner/Editor/Viewer) are project-wide and Google itself warns against them; the Compute Engine default SA historically auto-receives Editor. The secure-by-default baseline (automaticIamGrantsForDefaultServiceAccounts etc.) only auto-applies to orgs created on/after May 3, 2024 and is NOT retroactive — an established org inherits the legacy footgun.",gcloud organizations get-iam-policy / project IAM for roles/owner+roles/editor on user and default-SA principals; gcloud org-policies describe iam.automaticIamGrantsForDefaultServiceAccounts --organization=ORG_ID = enforced; check the *-compute@developer.gserviceaccount.com binding for roles/editor.,"No human principals hold basic roles in production projects; the default SA holds no Editor (or is unused with dedicated per-workload SAs); the automaticIamGrants and SA-key constraints are enforced across the whole hierarchy, not just new orgs.",,Enforce the secure-by-default constraints manually on the existing org/folders; replace default-SA Editor with least-privilege roles (enforcing the constraint does NOT revoke existing grants); move workloads to dedicated per-service SAs; use IAM Recommender to right-size.,,
GCP,P1,Security Command Center Premium/Enterprise org-wide for threat detection and posture,"SCC Standard is thin and eroding (the Feb 2026 'enhanced Standard' migration narrows it); the behavioral detectors that matter — Event Threat Detection, Container/VM Threat Detection, attack-path/exposure and posture-as-code — are tier-gated to Premium/Enterprise.","gcloud scc settings services describe / confirm the SCC tier at the org level; confirm Event Threat Detection, Container Threat Detection, and Security Health Analytics are active and that findings export to your SIEM; confirm auto-coverage of new projects.","SCC Premium or Enterprise is enabled at the organization with Event/Container/VM Threat Detection and Security Health Analytics on, findings exported, and new projects auto-covered.",,Activate SCC Premium/Enterprise at the org; enable the threat-detection services; wire findings to Chronicle/SIEM and ticketing; enable Security Posture service for posture-as-code drift detection.,,
GCP,P1,Apply the full Org Policy guardrail baseline across the whole hierarchy,"Org Policy is GCP's rich SCP-equivalent, but NOTHING is enforced by default on orgs predating the secure-by-default cutoff, and even the new baseline omits network/exposure constraints (e.g. skipDefaultNetworkCreation, external-IP, OS Login).","gcloud org-policies list --organization=ORG_ID; confirm enforcement of compute.skipDefaultNetworkCreation, compute.vmExternalIpAccess (deny), compute.requireOsLogin, iam.allowedPolicyMemberDomains, gcp.resourceLocations, and the SA-key constraints at org/folder level.","A documented baseline of org policies (network suppression, deny external IP, require OS Login, domain-restricted sharing, allowed locations, SA-key restrictions) is enforced org-wide and inherited by all projects.",,Author the baseline as policy-as-code; roll out at the org node so all folders/projects inherit; delete pre-existing default networks; use Policy Analyzer to verify effective policy.,,
GCP,P1,"Lock down serverless exposure: block allUsers, restrict ingress, require invoker IAM","Cloud Run/Functions are private by default, but 'Allow unauthenticated' is a one-toggle public endpoint (allUsers), default ingress 'all' lets the run.app URL bypass the load balancer / Cloud Armor, and the org-policy invoker guardrail is opt-in.",gcloud org-policies describe iam.allowedPolicyMemberDomains (domain-restricted sharing blocks allUsers) and constraints/run.managed.requireInvokerIam = enforced; per service: gcloud run services describe SVC --format='value(spec.template.metadata.annotations)' for ingress=internal-and-cloud-load-balancing and no allUsers in the invoker policy.,Domain-restricted sharing and run.managed.requireInvokerIam are enforced org-wide; public services intentionally exposed sit behind an external LB with ingress restricted to internal-and-cloud-load-balancing; no unintended allUsers invoker bindings.,,Enforce iam.allowedPolicyMemberDomains and run.managed.requireInvokerIam; set ingress to internal-and-cloud-load-balancing for services that should only be reached via the LB; audit invoker IAM for allUsers/allAuthenticatedUsers.,,
GCP,P1,Use CMEK in a dedicated key project with key-IAM separation for IP-bearing data,"Default Google-managed encryption gives ZERO cross-project key-IAM isolation. CMEK in a separate key project, with key IAM held by a different team than the data, creates an independent blast-radius boundary; Cloud HSM/EKM add hardware/sovereignty custody.",Confirm IP-bearing buckets/disks/datasets use CMEK (not Google-managed): gcloud storage buckets describe / disk describe for the kmsKeyName; confirm the keys live in a dedicated key project whose Cloud KMS IAM is separated from the data project's admins; consider Cloud HSM/EKM for the most sensitive keys.,"Crown-jewel data (model weights, source, training datasets) is CMEK-encrypted with keys in a separate key project, key IAM held by a distinct principal set, rotation scheduled; the org policy requiring CMEK is enforced on supported services.",,Provision a dedicated key project; create CMEK keys with separated IAM and rotation; enforce the constraints/gcp.restrictNonCmekServices / require-CMEK org policies; adopt Cloud HSM or EKM where key custody/sovereignty is required.,,
GCP,P1,Turn on Binary Authorization enforce-mode + Artifact Analysis for GKE and Cloud Run,Binary Authorization is a genuine NATIVE deploy-time attestation gate (a GCP strength worth actually using) — but it is opt-in and ships in dry-run; unsigned/unattested images deploy until you enforce.,"gcloud container binauthz policy export — confirm enforcementMode=ENFORCED_BLOCK_AND_AUDIT_LOG (not dry-run), a default-deny rule with required attestors, and minimal breakglass; confirm Artifact Analysis scanning is on and feeds the attestor; confirm Cloud Run deploy-time check is enabled.","Binary Authorization is in enforce mode for GKE and Cloud Run with attestation required from a build/scan attestor, breakglass restricted and audited, and Artifact Analysis vulnerability scanning feeding the gate.",,"Define the policy with required attestors; run dry-run to surface unsigned workloads, then flip to enforce; wire Cloud Build SLSA provenance + Artifact Analysis into attestation; restrict and alert on breakglass.",,
GCP,P2,Put Cloud Armor on every external load balancer and stop run.app direct-URL bypass,Cloud Armor WAF/Adaptive Protection only protects traffic that flows through an external load balancer with an attached security policy; a Cloud Run default ingress 'all' run.app URL bypasses it entirely — relevant to GPU/inference cost-abuse.,gcloud compute security-policies list and confirm each external backend service has a policy attached (WAF managed rules + rate-based rules + Adaptive Protection); confirm Cloud Run services behind the LB have ingress=internal-and-cloud-load-balancing so the run.app URL can't be hit directly.,"Every internet-facing LB has a Cloud Armor policy (managed WAF rules, rate-based throttling sized to per-request GPU cost, Adaptive Protection); no GPU-backed service is reachable via its raw run.app URL.",,Attach Cloud Armor policies to all external backends; add rate-based rules and preconfigured WAF rules; enable Adaptive Protection; restrict Cloud Run ingress so traffic must traverse the LB.,,
