platform,signal,probe,status,finding,gap,risk,doc_quality,evidence
GCP,visibility,Separation of control-plane audit logs from application logs (four audit streams),present,"Cloud Audit Logs is a distinct, structured log family separate from application/platform logs in Cloud Logging. It comprises four streams: Admin Activity (control-plane writes/config changes), Data Access (reads + data-affecting calls), System Event (Google-initiated actions), and Policy Denied (access blocked by a security policy such as VPC Service Controls or org policy). All carry the same AuditLog protoPayload schema, so admin actions are cleanly distinguishable from arbitrary stdout/stderr that GKE/Cloud Run/Functions write as platform logs. This is a genuine architectural strength: control-plane provenance is not commingled with app output.","None at the model level. The separation is real and the schema is consistent. The risk is entirely in defaults (see Data Access probe), not in the partitioning.",Low — a multi-team org can build detections keyed on protoPayload methodName/principalEmail without filtering noise from application logs.,Documented,"https://docs.cloud.google.com/logging/docs/audit — 'Cloud Audit Logs provides the following audit logs for each Cloud project, folder, and organization: Admin Activity audit logs, Data Access audit logs, System Event audit logs, Policy Denied audit logs.'"
GCP,visibility,Default-on vs opt-in: Data Access (read-access) audit logging is OFF by default,partial,"Admin Activity and System Event logs are always written, free, and cannot be disabled or configured. Policy Denied is generated by default (and billed). The exfiltration-relevant stream — Data Access (DATA_READ/DATA_WRITE/ADMIN_READ) — is DISABLED by default for nearly every service 'because audit logs can be quite large.' The single notable exception is BigQuery Data Access, which is on by default and can't be disabled. So by default a read of a Cloud Storage object, a Secret Manager secret access, a Compute Engine metadata read, or a model-weights download produces NO audit record. This is GCP's direct analogue of the data-exfil-visibility gap: the writes are logged, the reads that constitute exfiltration are not — until an operator explicitly turns on DATA_READ in the IAM auditConfigs.","For an org guarding proprietary source code, model weights, and documents, the highest-value telemetry (who read which object/secret/dataset) is off until deliberately enabled per-service via IAM auditConfigs, and enabling it broadly carries real ingestion cost. A team that never sets auditConfigs has zero record of bulk reads of GCS buckets or Secret Manager — the classic insider/credential-theft exfil path.","High — undetected read-based exfiltration of IP from Cloud Storage, Persistent Disk snapshots, Secret Manager, and Artifact Registry is invisible in the default config; incident responders find write/admin events but no read trail.",Documented but Misleading,"https://docs.cloud.google.com/logging/docs/audit — 'Data Access audit logs—except for BigQuery Data Access audit logs—are disabled by default because audit logs can be quite large.' and https://docs.cloud.google.com/logging/docs/audit/configure-data-access — 'To receive Data Access audit logs, you must explicitly enable them ... Enabling Data Access audit logs might result in your Cloud project being charged for the additional logs usage.'"
GCP,visibility,Audit log schema (protoPayload / AuditLog) documentation quality,present,"The AuditLog message is fully documented in a REST reference and an 'understanding audit logs' guide. Key fields: protoPayload.@type = type.googleapis.com/google.cloud.audit.AuditLog, serviceName, methodName (e.g. SetIamPolicy), resourceName, authenticationInfo.principalEmail, authorizationInfo (permission + granted), status, request/response, and requestMetadata. The schema is stable across services and is exactly what a SIEM parser keys on; Google Security Operations (Chronicle) ships a default parser for it. This is a real strength — the schema is consistent, versioned, and machine-friendly.","Minor: some legacy services still emit detail in the older serviceData field rather than the newer metadata field, so per-service field coverage varies. Field presence (e.g. request/response bodies) depends on the service and on Data Access logging being enabled.","Low — detection engineering against the audit schema is well-supported; the residual risk is uneven per-service richness, not schema opacity.",Documented,"https://docs.cloud.google.com/logging/docs/reference/audit/auditlog/rest/Shared.Types/AuditLog and https://docs.cloud.google.com/logging/docs/audit/understanding-audit-logs — protoPayload.@type 'type.googleapis.com/google.cloud.audit.AuditLog', methodName 'SetIamPolicy', authenticationInfo.principalEmail."
GCP,visibility,"Identity capture: principal email, impersonation chains, caller IP",present,"AuditLog.authenticationInfo captures principalEmail and, for federated/IdP tokens, principalSubject. Service-account impersonation chains are captured in serviceAccountDelegationInfo (the delegation chain of intermediate principals), which lets responders reconstruct 'user A impersonated SA B which acted as SA C.' requestMetadata.callerIp records the source IP and requestMetadata.callerSuppliedUserAgent the agent. This is strong attacker-attribution telemetry. Caveat documented: for service-to-service internal calls callerIp is redacted to 'private', and for some VM callers it is redacted to 'gce-internal-ip' — so internal-origin source IPs are not always available.",callerIp redaction ('private' / 'gce-internal-ip') reduces source-IP fidelity for internal lateral movement and some VM-originated calls — a responder cannot always pin the exact internal source from the audit record alone.,"Medium — impersonation-chain capture is excellent for tracing privilege abuse, but redacted internal caller IPs can blunt lateral-movement attribution within the org's VPCs.",Documented,"https://docs.cloud.google.com/logging/docs/reference/audit/auditlog/rest/Shared.Types/AuditLog — RequestMetadata.callerIp ('For calls made from inside the internal production network from one Google Cloud service to another, the callerIp is redacted to ""private""') and ServiceAccountDelegationInfo within authenticationInfo; https://cloud.google.com/iam/docs/audit-logging/examples-workload-identity"
GCP,visibility,"Retention: _Required (400 days, fixed, free) vs _Default (30 days, configurable)",present,"Admin Activity and System Event logs land in the system _Required bucket: retained 400 days, not billed for retention, retention not configurable, bucket cannot be deleted, and which entries it stores cannot be changed. Everything else (including Data Access and Policy Denied, plus all application/platform logs) lands in the _Default bucket: 30-day default retention, configurable from 1 to 3650 days, billed for retention beyond the default. So the control-plane audit trail gets a year of guaranteed, immutable-by-default retention for free, but Data Access logs and app logs age out in 30 days unless the operator extends them.","The two most exfil-relevant data sets — Data Access logs (when enabled) and application logs — sit in the 30-day _Default bucket, not the protected 400-day _Required bucket. Slow-burn or late-discovered incidents (median dwell time often exceeds 30 days) can fall outside the default window unless retention or an export sink was configured beforehand.","Medium — without proactive retention extension or an export sink, forensic evidence of data reads and app behavior may be purged before an intrusion is even discovered.",Documented,"https://docs.cloud.google.com/logging/docs/buckets — '_Required ... retains them for 400 days. You can't change the retention period ... and you can't delete this bucket'; '_Default ... retains the log entries ... for 30 days, unless you configure custom retention'; https://docs.cloud.google.com/logging/quotas"
GCP,visibility,Export to SIEM: Log Router sinks and org/folder aggregated sinks,present,"Log Router routes any log (audit or app) to Cloud Storage (long-term/WORM-capable), BigQuery (queryable), Pub/Sub (streaming to Splunk/Datadog/third-party SIEM), or Google Security Operations (Chronicle). Crucially, aggregated sinks can be created at the organization or folder level and capture all logs originating in every child project — including projects created later — in one place. This is a real strength: a single org-level sink gives central security a tamper-resistant, project-team-independent copy of every team's audit trail.","Aggregated sinks are opt-in and must be created and IAM-secured deliberately; nothing exports off-project by default. A new org with no sink relies entirely on per-project 30/400-day buckets. Pub/Sub-to-SIEM also incurs ongoing egress/ingestion cost, which biases teams toward sampling.","Medium — strong centralization capability, but only if an org-level sink is stood up before an incident; the default posture is per-project, locally-retained logs.",Documented,https://cloud.google.com/logging/docs/export/aggregated_sinks and https://docs.cloud.google.com/logging/docs/export/aggregated_sinks_overview — aggregated sinks 'route log entries that originate in resources within a folder or organization ... as well as all log entries that originate in the child resources.'
GCP,visibility,Immutability / attacker resistance — can a project owner blind the audit trail?,partial,"Defense-in-depth is genuinely strong but uneven. Admin Activity and System Event logs cannot be disabled or excluded by anyone, including a project owner ('Even if you disable the Cloud Logging API, Admin Activity audit logs are still generated'), and their _Required bucket cannot be deleted. Log buckets can be locked (irreversible WORM: cannot delete until retention elapsed), and an org-level aggregated sink owned by central security cannot be disabled by an attacker confined to one project. BUT a project-level actor with sufficient IAM can disable Data Access logging (edit auditConfigs), set exclusion filters, delete or shorten the _Default bucket's retention, or delete non-locked sinks — blinding read-trail and app-log visibility within that project.","The mandatory, tamper-proof guarantee covers only Admin Activity + System Event. Data Access logs (if enabled), Policy Denied, and all application logs are disable-able / delete-able by a sufficiently privileged in-project principal unless the org has pre-built a locked bucket and/or an org-level aggregated sink the project cannot touch. Achieving an attacker-resistant trail is opt-in configuration work, not the default.",Medium-High — an attacker who compromises a project owner/editor can suppress read and app telemetry in that project; only orgs that proactively deployed org-level aggregated sinks + locked buckets retain an out-of-reach copy.,Documented,"https://docs.cloud.google.com/logging/docs/audit — Admin Activity 'always written; you can't configure, exclude, or disable them'; https://docs.cloud.google.com/logging/docs/buckets — locked-bucket immutability; https://cloud.google.com/logging/docs/export/aggregated_sinks — org-level sinks."
GCP,visibility,Real-time alerting and threat detection over audit logs (SCC Event Threat Detection),present,"Beyond raw export, Security Command Center's Event Threat Detection continuously scans the org/project Cloud Logging stream — including Admin Activity, Data Access, and System Event audit logs — matching IoCs, known TTPs, and behavioral anomalies (e.g. anomalous IAM grants, credential abuse, unusual API usage), with detection latency generally under 15 minutes. Cloud Monitoring log-based alerts and Pub/Sub sinks provide complementary near-real-time alerting paths.","Event Threat Detection is a paid SCC Premium/Enterprise feature, not part of the free/default tier — so a default project has no managed real-time threat detection over its audit logs. Its Data Access-based detections are only as good as whether Data Access logging was enabled in the first place (default off).",Medium — capable near-real-time detection exists but is gated behind a paid tier and is blind to read-based activity unless Data Access logs were turned on.,Documented,"https://cloud.google.com/security-command-center/docs/concepts-event-threat-detection-overview — 'Event Threat Detection monitors the Cloud Logging stream ... including Cloud Audit Logs (Admin Activity, Data Access, and System Event logs)' and detection latency 'generally less than 15 minutes.'"
GCP,visibility,"Container/serverless application log capture and retention (GKE, Cloud Run, Cloud Functions)",present,"GKE, Cloud Run, and Cloud Functions stream stdout/stderr to Cloud Logging automatically as platform logs, landing in the project _Default bucket with 30-day default retention (configurable 1–3650 days). These are distinct from audit logs and carry no AuditLog schema. Capture is on by default for these runtimes, which is good for operational visibility.","Two issues for an IP-sensitive org: (1) application logs default to only 30 days unless retention is extended or a sink exists; (2) there is no default redaction — if application code logs secrets, tokens, customer data, or proprietary content to stdout, it is captured verbatim in Cloud Logging with no built-in DLP scrubbing. Sensitive-data hygiene in logs is entirely the team's responsibility.",Medium — short default retention can drop forensic app-log evidence; unredacted secret/IP leakage into logs creates a secondary exposure surface within Cloud Logging.,Documented,https://docs.cloud.google.com/logging/docs/buckets — '_Default ... retains the log entries ... for 30 days'; https://docs.cloud.google.com/logging/docs/api/platform-logs (platform logs from Google Cloud services).
GCP,visibility,AI/ML content logging — Vertex AI request/response (prompt/response) capture is opt-in,present,"Vertex AI generative request-response logging (Gemini and supported models) is opt-in: it is configured via set_request_response_logging_config / enable_request_response_logging with an explicit enabled flag, a sampling_rate (0–1), and a BigQuery destination. When enabled it captures full_request (the GenerateContentRequest JSON) and full_response (GenerateContentResponse JSON) — i.e., the literal prompt and model output — into a BigQuery table. By default it is not enabled, so prompts/responses are not retained, which is privacy-preserving but means no native audit trail of what was sent to or produced by models unless deliberately turned on.","A double-edged footgun for an IP-sensitive org: (a) by default there is no record of prompt/response content, so prompt-injection, data-exfil-via-prompt, or model-output incidents have no native forensic trail; (b) when enabled, full prompts and responses — potentially containing proprietary source, secrets, or sensitive documents — are written verbatim to BigQuery, and the docs carry no explicit warning about capturing sensitive content there. Either choice (off = no visibility; on = sensitive-content sprawl) requires deliberate governance.",Medium — default-off means model misuse is invisible; default-naive enablement risks proliferating proprietary prompt/response content into a BigQuery table that must then be access-controlled and retention-managed.,Documented but Misleading,"https://docs.cloud.google.com/vertex-ai/generative-ai/docs/multimodal/request-response-logging — logging schema includes 'full_request' (GenerateContentRequest) and 'full_response' (GenerateContentResponse); sampling_rate 'a value of 1 logs all requests, and a value of 0.1 logs 10% of requests.'"
