platform,signal,probe,claim,verdict,correction,evidence,reconciled
GCP,visibility,"Is Data Access (read-access) audit logging OFF by default for nearly every service, with BigQuery Data Access the single notable exception that is on by default and cannot be disabled?","Data Access audit logs (DATA_READ/DATA_WRITE/ADMIN_READ) are DISABLED by default for nearly every service 'because audit logs can be quite large'; the single notable exception is BigQuery Data Access, which is on by default and can't be disabled.",confirmed,,https://docs.cloud.google.com/logging/docs/audit,
GCP,visibility,"Are Admin Activity and System Event audit logs always written, undisablable, and free; and is Policy Denied generated by default and billed?","Admin Activity and System Event logs are always written, free, and cannot be disabled or configured. Policy Denied is generated by default (and billed).",confirmed,"Confirmed. Admin Activity and System Event audit logs are always written and cannot be configured/excluded/disabled; Cloud Logging does not charge for them and they are stored in the _Required bucket at no cost. Policy Denied audit logs are generated by default, cannot be disabled, and are billed for storage. The draft's use of 'free' for Admin Activity/System Event is accurate (no charge for generation or _Required-bucket storage).",https://docs.cloud.google.com/logging/docs/audit,
GCP,visibility,"Is the _Required bucket fixed at 400 days (free, non-configurable) and _Default 30 days (configurable 1-3650 days, billed beyond default)?","Admin Activity/System Event land in _Required: 400 days, not billed, retention not configurable, bucket cannot be deleted. Everything else lands in _Default: 30-day default, configurable 1-3650 days, billed beyond default.",confirmed,,https://docs.cloud.google.com/logging/docs/store-log-entries,
GCP,visibility,"Does AuditLog.authenticationInfo capture principalEmail, principalSubject, and serviceAccountDelegationInfo (delegation chain), and does requestMetadata capture callerIp/callerSuppliedUserAgent with callerIp redacted to 'private' (internal service-to-service) and 'gce-internal-ip' (some VM callers)?",authenticationInfo captures principalEmail and principalSubject; serviceAccountDelegationInfo captures the impersonation/delegation chain; requestMetadata.callerIp and callerSuppliedUserAgent are present; callerIp is redacted to 'private' for internal service-to-service calls and to 'gce-internal-ip' for some VM callers.,confirmed,,https://docs.cloud.google.com/logging/docs/reference/audit/auditlog/rest/Shared.Types/AuditLog,
GCP,visibility,"Is Vertex AI generative request-response (prompt/response) logging opt-in, configured via an enabled flag + sampling_rate (0-1) + BigQuery destination, capturing full request/response?","Vertex AI generative request-response logging is opt-in (disabled by default), configured via set_request_response_logging_config / enable_request_response_logging with an enabled flag, sampling_rate 0-1, and a BigQuery destination; captures full_request (GenerateContentRequest) and full_response (GenerateContentResponse).",confirmed,"Confirmed. Disabled by default; configured with enabled flag, samplingRate (0-1), and bigqueryDestination; the BigQuery schema includes full_request and full_response JSON fields. Note: coverage now extends beyond Gemini to partner models including Anthropic Claude (via rawPredict/streamRawPredict), with request_payload/response_payload fields for partner models -- the draft's 'Gemini and supported models' phrasing remains accurate.",https://docs.cloud.google.com/vertex-ai/generative-ai/docs/multimodal/request-response-logging,
GCP,visibility,"Does SCC Event Threat Detection continuously scan the Cloud Logging stream (including Admin Activity, Data Access, System Event audit logs) with detection latency generally under 15 minutes?","Security Command Center Event Threat Detection continuously scans the org/project Cloud Logging stream including audit logs, with detection latency generally under 15 minutes.",confirmed,"Confirmed: detection latencies are generally less than 15 minutes from when a log is written to when a finding is available. Caveat worth noting in the draft: ETD can only scan Data Access audit logs if the operator has explicitly enabled them (they are off by default), so the data-read detection coverage is gated by the same opt-in gap the draft already flags.",https://docs.cloud.google.com/security-command-center/docs/concepts-scan-latency-overview,
GCP,visibility,Is the SIEM/threat product correctly named 'Google Security Operations (Chronicle)' as of the current date?,Google Security Operations (Chronicle) ships a default parser for the AuditLog schema; the draft refers to the product as 'Google Security Operations (Chronicle)'.,confirmed,"Naming is current. Chronicle Security Operations was rebranded to Google Security Operations (Google SecOps) on 2024-04-25. The draft's 'Google Security Operations (Chronicle)' is acceptable, though strictly the current product name is 'Google Security Operations' / 'Google SecOps' with Chronicle as the legacy name.",https://cloud.google.com/security/products/security-operations,
GCP,visibility,Who is the current Google Cloud CISO -- did the draft let a stale CISO name stand?,(Prompt-flagged check) The draft must not assert a stale current Google Cloud CISO.,confirmed,"No defect in the draft: this signal's findings do not name any Google Cloud CISO, so there is no stale name to correct. For the record, Phil Venables (Google Cloud's first CISO since 2020) stepped down from the CISO role after four years and moved to a part-time strategic security advisor capacity; Google had not publicly named a successor CISO at the time of departure. Any future revision should NOT reintroduce 'Phil Venables' as the sitting Google Cloud CISO.",https://www.channelfutures.com/people-on-the-move/google-cloud-ciso-vacates-post-after-4-years,
GCP,visibility,"(Adjacent supply-chain fact the prompt flagged) Is Container Registry / gcr.io actually shut down, and on what dates?",(Prompt-flagged background check; not asserted in this signal's findings.) Container Registry / gcr.io shutdown status and timing.,confirmed,"Not a claim in this Visibility signal, but verified per the prompt: Container Registry was deprecated and shut down on a phased schedule -- writes disabled 2025-03-18, reads disabled 2025-06-03, and from 2025-10-14 gcr.io URLs are served from Artifact Registry (uncopied images become unavailable). Any draft text stating Container Registry is fully shut down as of 2026 is correct.",https://docs.cloud.google.com/artifact-registry/docs/transition/prepare-gcr-shutdown,
GCP,identity_granularity,"Verify the draft's claim that secure-by-default org policies apply to 'organizations created on/after roughly mid-2024 (announced March 20, 2024)' — check both the announcement date and the actual enforcement date/cutoff.","Secure-by-default org policies are enforced automatically for organizations created on/after roughly mid-2024 (announced March 20, 2024).",confirmed,"Both dates are correct but the draft is imprecise. The blog announcement was March 20, 2024 (https://cloud.google.com/blog/products/identity-security/introducing-stronger-default-org-policies-for-our-customers). The actual enforcement cutoff is more specific than 'roughly mid-2024': baseline constraints are enforced for all organizations created on or after May 3, 2024 (and some orgs created Feb-April 2024 may also have them). Recommend stating 'created on/after May 3, 2024' rather than 'roughly mid-2024'.",https://docs.cloud.google.com/resource-manager/docs/secure-by-default-organizations,
GCP,identity_granularity,"Verify the draft's enumerated list of secure-by-default baseline constraints (disableServiceAccountKeyCreation, disableServiceAccountKeyUpload, automaticIamGrantsForDefaultServiceAccounts, allowedPolicyMemberDomains, uniformBucketLevelAccess, essentialcontacts domain restriction).","The secure-by-default baseline includes disableServiceAccountKeyCreation, disableServiceAccountKeyUpload, automaticIamGrantsForDefaultServiceAccounts (stops Editor auto-grant on default SAs), allowedPolicyMemberDomains, storage uniformBucketLevelAccess, and essentialcontacts domain restriction.",confirmed,"All six listed constraints are confirmed present in the current baseline. Note the baseline now also includes a seventh constraint the draft omits — restrictProtocolForwardingCreationForTypes (protocol forwarding restricted to internal IPs). Draft uses 'including' so this is not an error, but the list is non-exhaustive.",https://docs.cloud.google.com/resource-manager/docs/secure-by-default-organizations,
GCP,identity_granularity,Verify the draft's claim that secure-by-default exemptions are 'per-resource via tags.',Exemptions from the secure-by-default baseline constraints are per-resource via tags.,uncertain,"The secure-by-default doc describes overriding/disabling the baseline at org, folder, or project level (e.g., setting a different org policy or deleting the constraint), not a documented per-resource tag-based exemption mechanism specific to the baseline. Tag-conditioned org policy enforcement is a real general Organization Policy feature, but the draft's specific phrasing 'Exemptions are per-resource via tags' is not directly supported by the secure-by-default documentation. Recommend softening to 'overrides/exemptions are set via org policy at org/folder/project level (and org policy supports tag-conditioned enforcement generally).'",https://docs.cloud.google.com/resource-manager/docs/secure-by-default-organizations,
GCP,identity_granularity,Verify Google's exact warning language on basic roles and the 'thousands of permissions' characterization.,"Google states basic roles 'include thousands of permissions across all Google Cloud services' and warns 'In production environments, do not grant basic roles unless there is no alternative. Instead, grant the most limited predefined roles or custom roles that meet your needs.'",confirmed,,https://docs.cloud.google.com/iam/docs/roles-overview,
