platform,signal,probe,status,finding,gap,risk,doc_quality,evidence
AWS,visibility,Control-plane vs application-log separation (CloudTrail management events vs CloudWatch Logs app stdout),present,"AWS structurally separates admin/control-plane activity from application output. CloudTrail records management events (control-plane API calls like AttachRolePolicy, CreateTrail, plus the non-API ConsoleLogin sign-in event) in a dedicated, structured JSON audit stream; application stdout/stderr lands in CloudWatch Logs log groups (e.g. /aws/lambda/{function-name}). These are different services with different schemas, retention models, and IAM controls, so an app cannot pollute or evade the audit trail by writing to stdout. Management events are logged by default on every trail and event data store; data events (data-plane operations) are explicitly NOT logged by default.","The two streams are not unified by default. There is no single default-on pane that joins 'who did this admin action' (CloudTrail) with 'what the app then logged' (CloudWatch Logs); correlation requires deliberate pipeline work (CloudTrail to CloudWatch Logs, or both into Security Lake/CloudTrail Lake). For a multi-team org chasing an IP-exfil incident, stitching control-plane and app-plane timelines is an opt-in engineering task, not a turnkey capability.","Incident responders must pre-build correlation infrastructure; absent it, joining an attacker's IAM/API actions to the resulting application behavior across many member accounts is slow and manual during an active proprietary-IP incident.",Documented,"https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-concepts.html (""By default, trails and event data stores log management events, but not data or Insights events""; management events = control plane, e.g. AttachRolePolicy, plus the non-API ConsoleLogin event)"
AWS,visibility,CloudTrail default-on: Event history (90-day console view) vs a configured Trail (durable export),partial,"Two distinct things share the 'CloudTrail' name. (1) Event history is on automatically for every account: a viewable, searchable, downloadable, immutable record of the past 90 days of MANAGEMENT events per Region, free, no setup. (2) A Trail is a separate, opt-in configuration that delivers events to an S3 bucket (optionally CloudWatch Logs / EventBridge) for retention beyond 90 days, cross-account aggregation, and export. Without a configured trail you have only the 90-day rolling console/LookupEvents window, and Event history shows management events only (no data events, ever).","The default-on layer is a 90-day rolling buffer of management events only. Long-term retention, export to SIEM, and any data-event capture all require explicitly creating a trail (or event data store). A brand-new account or a freshly-vended member account that nobody configured retains nothing past 90 days and captures no object-level access. This is the canonical 'familiar term implies more than it delivers' footgun: people say 'CloudTrail is on by default' and assume durable, exportable, complete logging.",A newly created member account in the org without org-trail coverage silently loses all audit history after 90 days and never records S3/Bedrock/SageMaker object access. An attacker operating in such an account leaves no durable trace.,Documented but Misleading,"https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-concepts.html (""CloudTrail event history provides a viewable, searchable, downloadable, and immutable record of the past 90 days of CloudTrail management events in an AWS Region""; ""A trail is a configuration that enables delivery of CloudTrail events to an S3 bucket"")"
AWS,visibility,"Management vs DATA events: defaults, cost, and blast radius of data events OFF by default",partial,"Management events are on by default for trails/event data stores. Data events (the data plane: S3 GetObject/PutObject/DeleteObject, Lambda Invoke, DynamoDB item ops, and notably AI/ML resource access such as SageMaker InvokeEndpoint) are NOT logged by default and incur additional per-event charges due to volume. (Corrected by fact-check: the common Bedrock invocation APIs — InvokeModel, InvokeModelWithResponseStream, Converse, ConverseStream — are MANAGEMENT events and ARE logged by default at no data-event charge; only certain runtime ops are data events: InvokeModelWithBidirectionalStream, Start/GetAsyncInvoke, the Agents-for-Bedrock runtime, Retrieve/RetrieveAndGenerate, InvokeFlow.) Network activity events (VPC-endpoint API calls) are likewise off by default and billed separately. So by default AWS records who changed configuration AND the fact of a common Bedrock model invocation (principal, source IP, modelId, via the management-event stream), but NOT who read or moved the actual proprietary data or model weights — S3 object-level access is a data event — and not the prompt/response content of a model call (Bedrock model-invocation logging is the separate control for content).","The default audit posture is blind to data exfiltration. For an org whose crown jewels are source code and model weights in S3, the single most security-relevant log (object-level GetObject) is OFF by default and costs money to turn on. SageMaker InvokeEndpoint is a data event (off by default); common Bedrock invocations are management events (on by default), but even then CloudTrail records only the API call, not prompt/response content (Bedrock model-invocation logging is the separate control for content). The cost coupling means cost-conscious teams may deliberately leave the most important read-access logging disabled.","Mass download of model weights or source from S3, or abuse of a model endpoint, produces zero CloudTrail evidence by default. Detection and forensics of IP theft depend entirely on someone having opted into (and paid for) data events on the right buckets/resources beforehand.",Documented,"https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-concepts.html (""Data events are not logged by default when you create a trail or event data store. To record CloudTrail data events, you must explicitly add each resource type... Additional charges apply for logging data events.""; S3 AWS::S3::Object, Lambda AWS::Lambda::Function, Bedrock and SageMaker resource types listed)"
AWS,visibility,Audit log schema documentation (record body + userIdentity),present,"The CloudTrail record schema is fully and precisely documented and versioned. Mandatory top-level fields (eventVersion, eventTime, eventSource, eventName, awsRegion, sourceIPAddress, userIdentity, requestParameters, responseElements, eventID, eventType, eventCategory, recipientAccountId) are specified with 'Since' version and Optional flags; sourceIPAddress and userIdentity are marked Optional:False (always present). eventVersion (currently 1.11) follows documented major/minor compatibility rules. The userIdentity block is exhaustively documented: type, principalId, arn, accountId, accessKeyId, sessionContext (sessionIssuer for the assumed-role's parent role, mfaAuthenticated, sourceIdentity), invokedBy, onBehalfOf/credentialId for IAM Identity Center, inScopeOf for service-to-service, and tlsDetails (TLS version/cipher/host).","Schema completeness is a genuine strength; the weaknesses are content-level, not documentation-level. requestParameters/responseElements are service-defined and truncated/omitted above 100 KB (1 MB only for extended-size event data stores), so large payloads are silently dropped. sourceIdentity (the original human behind a chain of assumed roles) only appears if an admin pre-configured STS to require it; without it, role-chaining can obscure the true actor. console sign-in failures hide userName as HIDDEN_DUE_TO_SECURITY_REASONS.","Well-documented schema lets the org build reliable parsers, but in a heavy assume-role/role-chaining environment the true originating human may be unattributable unless sts:SourceIdentity enforcement was set up in advance.",Documented,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-record-contents.html and https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-user-identity.html
AWS,visibility,"Identity capture in events (IAM principal, assumed-role session, source IP)",present,"Every event carries a userIdentity block plus a top-level sourceIPAddress (Optional:False). For temporary credentials, sessionContext.sessionIssuer records the parent role's ARN/principalId, and attributes.mfaAuthenticated records whether MFA was used. AssumedRole principalId encodes the role session name. IAM Identity Center events carry onBehalfOf (userId + identityStoreArn) and credentialId to tie back to the SSO human. invokedBy identifies AWS-service-initiated calls; inScopeOf ties service-to-service calls to the originating resource (e.g. a specific Lambda function ARN). A new invokedByDelegate field flags actions taken by product providers via delegated access.","Identity capture is strong, with two caveats. (1) sourceIPAddress for console-originated and AWS-internal calls is the customer resource or 'AWS Internal/{#}', not always an external attacker IP. (2) Mapping an AssumedRole session back to the originating human requires either the SSO onBehalfOf data or pre-configured STS sourceIdentity; a long-lived shared role assumed by many people yields only the role and session name, not the person, unless those controls were set up.","In a multi-team org where teams share roles, attribution to an individual engineer for a suspicious data access can be impossible after the fact unless sourceIdentity / Identity Center attribution was enforced beforehand.",Documented,"https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-user-identity.html (sessionContext, sessionIssuer, mfaAuthenticated, onBehalfOf, inScopeOf examples) and sourceIPAddress documented Optional:False in record-contents reference"
AWS,visibility,"Retention & configurability (Trail-to-S3, CloudWatch Logs, CloudTrail Lake)",present,"Multiple configurable retention tiers exist. Trail-to-S3: retention governed by S3 lifecycle policy (effectively unlimited/customer-controlled). CloudWatch Logs: per-log-group retention configurable from 1 day to 10 years (3653 days) or 'Never Expire'. CloudTrail Lake event data stores are immutable collections with retention up to 3653 days (~10 years) under EXTENDABLE_RETENTION_PRICING, or up to 2557 days (~7 years) under FIXED_RETENTION_PRICING. So years-long, queryable, immutable audit retention is achievable.","Retention is capable but defaults cut the wrong way for cost/safety. CloudWatch Logs default is 'Never Expire' (unbounded cost, including for sensitive app data that may have been captured), while CloudTrail Event history default is only 90 days (too short for forensics). Neither default matches a sensible security baseline; both must be deliberately overridden per-log-group and per-trail.","Without governance, the org simultaneously over-retains potentially-sensitive app logs forever (cost + data-at-rest exposure) and under-retains audit history (only 90 days where no trail/Lake is configured).",Documented,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-lake.html and https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/Working-with-log-groups-and-streams.html (retention 1 day to 10 years or never expire) and https://docs.aws.amazon.com/awscloudtrail/latest/userguide/query-event-data-store-cloudtrail.html (retention up to 3653 days)
AWS,visibility,"Export to external SIEM (S3, EventBridge, Kinesis Data Firehose, CloudTrail Lake, Security Lake / OCSF)",present,"Rich, well-documented export paths exist. Trails deliver to S3 (batched, for SIEM pull or Firehose) and can stream to CloudWatch Logs and Amazon EventBridge for routing. CloudTrail Lake offers SQL-queryable storage. Amazon Security Lake centralizes CloudTrail management events, S3/Lambda data events, VPC Flow Logs, and more, automatically normalizing them to the open OCSF schema in the customer's S3, with subscriber access for third-party SIEMs.","All export is opt-in and assembled from multiple services. Security Lake is not enabled by default and, to collect CloudTrail management events, requires a pre-existing multi-Region organization trail; data events must be separately enabled on that trail to reach Security Lake. The OCSF normalization covers native AWS sources, but custom S3 server access logs and arbitrary app logs need separate conversion. There is no single default-on 'everything to OCSF' switch.","A SIEM-centric security team inherits real integration work (trail + data events + Security Lake + subscribers) before centralized cross-account visibility exists; until then, member-account activity is siloed.",Documented,"https://docs.aws.amazon.com/security-lake/latest/userguide/cloudtrail-event-logs.html and https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-concepts.html (trail delivery to S3, CloudWatch Logs, EventBridge)"
AWS,visibility,"Log immutability and attacker-resistance (org trail, log file validation, S3 Object Lock, Lake)",present,"Several immutability mechanisms exist. CloudTrail log file integrity validation creates hourly digest files using SHA-256 hashing and SHA-256-with-RSA signing, each digest chaining the previous one, making undetected modification/deletion computationally infeasible. The destination S3 bucket can add Object Lock (WORM) and MFA Delete. Crucially, an ORGANIZATION trail created from the management/delegated-admin account is visible to member accounts but cannot be modified, disabled, have its event selectors changed, or deleted by them, so an attacker who compromises a single member account cannot turn off their own logging. CloudTrail Lake event data stores are immutable.",These are all opt-in and correctly-architected only if set up that way. Log file validation is not on by default; Object Lock must be enabled on the bucket. The member-account-can't-disable property holds ONLY for organization trails created centrally; a trail created locally in a member account CAN be disabled by a sufficiently-privileged principal in that account. The org-trail protection also presumes the management/delegated-admin account itself is not compromised.,"If the org relies on per-account trails rather than a centrally-owned org trail, an attacker with admin in a member account can stop logging and cover their tracks. Immutability is only as strong as the (opt-in) configuration choices made up front.",Documented,"https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-log-file-validation-intro.html (SHA-256, digest chaining) and https://docs.aws.amazon.com/organizations/latest/userguide/services-that-can-integrate-cloudtrail.html (""users in member accounts do not have sufficient permissions to delete organization trails, turn logging on or off, or otherwise change an organization trail"")"
AWS,visibility,"Real-time streaming and alerting (EventBridge, CloudWatch metric filters/alarms, GuardDuty)",present,"Near-real-time alerting is supported. CloudTrail management events flow to Amazon EventBridge and (if a trail streams to CloudWatch Logs) to metric filters + CloudWatch Alarms, enabling reactions within seconds of an event. AWS documents canned CloudWatch alarm examples for CloudTrail (e.g. security group / IAM policy changes). Amazon GuardDuty consumes CloudTrail, VPC Flow Logs, and DNS logs to produce threat findings without the customer building detections.","All of this is opt-in and per-account/per-Region. GuardDuty is NOT enabled by default; each account gets a 30-day free trial then bills per-Region, and Runtime Monitoring/EKS coverage is a further explicit opt-in. EventBridge delivers CloudTrail events into each Region's own event bus (not one global bus), so org-wide real-time detection requires fan-in plumbing across Regions and accounts. Data-event-based alerts (e.g. anomalous S3 reads) only work if data events were enabled first.",Out of the box there is no real-time alert on the actions that matter most for IP theft. A multi-team org must explicitly enable GuardDuty everywhere and build EventBridge/alarm fan-in before it has live detection across the estate.,Documented,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html and https://docs.aws.amazon.com/awscloudtrail/latest/userguide/monitor-cloudtrail-log-files-with-cloudwatch-logs.html
AWS,visibility,"Container/serverless application log retention and sensitive-data capture (Lambda, EKS/Fargate, CloudWatch Logs default)",partial,"Lambda auto-creates a /aws/lambda/{function-name} log group and ships stdout there; EKS/Fargate/ECS can ship container logs to CloudWatch Logs. But the default retention for any newly created CloudWatch Logs log group, including auto-created Lambda groups, is 'Never Expire' (represented as a missing retentionInDays). Retention is configurable (1 day to 10 years) but must be set explicitly per log group. The account owner pays storage indefinitely. Application logs may contain sensitive data (secrets, IP, PII) and CloudWatch Logs does not redact by default.","Two coupled footguns. (1) Unbounded default retention means proprietary data accidentally logged by an app lives forever in CloudWatch Logs at the org's cost and expands the attack surface (anyone with logs:GetLogEvents can read it). (2) There is no default-on data-protection/redaction; CloudWatch Logs data protection (sensitive-data masking) is an explicit opt-in per log group. App logs are also governed by CloudWatch Logs IAM, separate from the CloudTrail audit IAM, so 'who can read the app logs containing IP' is its own access-control problem.","Across many teams' Lambdas/containers, sensitive IP inadvertently written to stdout is retained forever, unredacted, readable by any principal with CloudWatch Logs read permission, growing the blast radius of any credential compromise and the cost base simultaneously.",Discoverable,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/Working-with-log-groups-and-streams.html (new log groups default to Never Expire) and Lambda auto-creates /aws/lambda/{function-name} log groups
AWS,visibility,AI/ML application-layer content logging (Bedrock model invocation logs; prompt/response capture),partial,"For AI workloads there is a content-level log distinct from CloudTrail. Amazon Bedrock model invocation logging captures full request data, response data, and metadata (prompts and completions, input/output JSON bodies up to 100 KB) to CloudWatch Logs and/or S3 - but it is DISABLED by default and must be explicitly enabled per Region. CloudTrail records the Bedrock API call (management/data event) but not the prompt/response content. SageMaker similarly separates control-plane (CloudTrail) from endpoint data and any model-output capture.","The content of AI interactions, the prompts that may carry proprietary data and the model outputs, is invisible by default. Enabling Bedrock invocation logging is itself double-edged: it then writes potentially highly sensitive prompt/response content into CloudWatch Logs/S3 where (per the container-log finding) default retention is Never Expire and there is no default redaction. So the org chooses between no visibility into model usage or a long-lived, sensitive content store that itself becomes an IP-exposure target.","Without invocation logging the org cannot detect prompt-based exfiltration of IP through Bedrock/SageMaker; with it enabled naively, the prompt/response store becomes a concentrated, indefinitely-retained repository of the very secrets it was meant to monitor.",Documented,"https://docs.aws.amazon.com/bedrock/latest/userguide/model-invocation-logging.html (""model invocation logging is disabled by default""; captures model input/output data to CloudWatch Logs and S3)"
AWS,visibility,GuardDuty default-on baseline vs the per-plan opt-in protection plans (which feeders are actually on after a vanilla org enablement),partial,"When GuardDuty is first enabled in a Region, it auto-enables most supported protection types INCLUDING Malware Protection for EC2 (agentless EBS snapshot scanning) and S3 Protection, all inside a 30-day free trial, and you can opt out. Extended Threat Detection and the foundational data sources (CloudTrail mgmt events, VPC Flow Logs, Route 53 DNS query logs) are also on by default with no separate enablement. The single critical exception is RUNTIME MONITORING (covering EKS, ECS-Fargate, and EC2 host/container runtime), which is NOT enabled by default and is the only plan excluded from the default free-trial activation. So a vanilla 'enable GuardDuty org-wide' gives you control-plane/network/DNS detections and agentless EBS malware scanning, but ZERO runtime (in-container/in-host) visibility until you separately turn on Runtime Monitoring and deploy its agent. Getting-started doc: 'When you enable GuardDuty for the first time in any AWS Region, by default, it also enables all the available protection types that are supported in that Region, including Malware Protection for EC2 ... [protection plans] except Runtime Monitoring are automatically enabled and included in the initial 30-day free trial.'","The control that catches the highest-value attacks for this org — runtime container escape, crypto-mining on GPU fleets, model-weight exfiltration from inside a workload — is the ONE plan that is silent by default. An org can believe it has 'GuardDuty enabled everywhere' (true) and still have no runtime detection at all. Malware Protection for S3 OBJECT scanning (distinct from agentless EBS scanning) is also a separate per-bucket opt-in, billed separately, so uploaded-object malware on IP/document buckets is unscanned unless explicitly turned on per bucket.","Container escape from an EKS/ECS workload to the underlying GPU host, cryptojacking of the GPU fleet, and process-level exfiltration of model weights or source code all occur with no GuardDuty finding generated — because the runtime feeder plan was never enabled. The org's most sensitive blast radius (proprietary IP on compute) is exactly the part left dark by the defaults.",Documented but Misleading,"https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_settingup.html — 'When you enable GuardDuty for the first time in any AWS Region, by default, it also enables all the available protection types that are supported in that Region, including Malware Protection for EC2'; and https://docs.aws.amazon.com/guardduty/latest/ug/runtime-monitoring.html (Runtime Monitoring requires a GuardDuty security agent and is configured separately)."
AWS,visibility,"Org-wide enablement ergonomics: delegated admin + auto-enable for new accounts is per-plan, per-Region — does turning GuardDuty on org-wide actually turn the plans on org-wide?",partial,"GuardDuty supports a delegated administrator via AWS Organizations and an auto-enable setting with three modes per the org config API: NEW (auto-enable only for accounts that join later), ALL (back-fill every existing account), or NONE. Critically, auto-enable is configured INDEPENDENTLY for GuardDuty itself AND for each optional protection plan (S3 Protection, EKS Protection, RDS Protection, Runtime Monitoring, etc.), and GuardDuty is a Regional service — every configuration step 'must be repeated in each Region you want to monitor.' The legacy console default 'Auto-enable' tip only applies to accounts that join AFTER the toggle is set, not existing members, unless you explicitly choose ALL. So the matrix to get full coverage is [each plan] x [NEW/ALL] x [every region] x [delegated-admin enforced], and a partial setup (e.g., auto-enable GuardDuty=ALL but Runtime Monitoring auto-enable left at NONE) silently produces accounts with the core service on but the runtime feeder off.","There is no single 'enable everything everywhere' switch. Achieving complete coverage requires N-plans x M-regions x correct auto-enable mode, plus back-filling existing accounts with ALL (the default NEW leaves the current fleet untouched). This is precisely the kind of multi-dimensional config where a multi-team org ends up with inconsistent coverage — some accounts/regions/plans on, others off — and no built-in attestation that the matrix is complete. Drift is invisible without external tooling (Security Hub controls, Config rules, or scripting ListDetectors per region).","A team spins up GPU/EKS workloads in a region or account where Runtime Monitoring auto-enable was never set, and the workload is monitored only at the control-plane level. Coverage gaps track account/region sprawl, which is exactly how fast-moving teams holding proprietary IP create undetected exposure. The org may pass a 'GuardDuty is enabled' audit check while the runtime plans are off in the accounts that matter most.",Documented,https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_organizations.html and the org config API https://docs.aws.amazon.com/guardduty/latest/APIReference/API_DescribeOrganizationConfiguration.html (AutoEnable values NEW/ALL/NONE set independently per feature); 'GuardDuty is a Regional service ... configuration procedures ... must be repeated in each Region' — https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_settingup.html
AWS,visibility,GuardDuty Extended Threat Detection (attack-sequence findings) — default-on but coverage is entirely gated on the feeder plans being enabled,partial,"Extended Threat Detection (ETD) is enabled by default for every GuardDuty account at no extra cost and correlates multi-stage attacks across foundational data sources, AWS resources, and a 24-hour window into Critical-severity attack-sequence findings. The console even shows Status: Enabled out of the box. BUT AWS is explicit that 'its detection comprehensiveness depends on your enabled GuardDuty protection plans.' Concretely: EKS attack sequences (AttackSequence:EKS/CompromisedCluster) require EKS Protection OR Runtime Monitoring; ECS attack sequences REQUIRE Runtime Monitoring for Fargate or EC2 (no fallback); EC2 attack sequences are only enhanced beyond control-plane/network signal when Runtime Monitoring is on; S3 data-compromise sequences require S3 Protection. Doc: 'If you don't enable EKS Protection or Runtime Monitoring, GuardDuty will not be able to generate individual ... finding types. Therefore, GuardDuty will not be able to detect multi-stage attack sequences that involve associated findings.' GA timeline: foundational ETD Dec 2024, EKS Jun 2025, EC2 + ECS Dec 2025.","The headline 'Extended Threat Detection: Enabled' status is true even when every advanced feeder plan is off — in which case the only attack sequence it can produce is the IAM-on-S3-control-plane scenario from foundational sources. The container/runtime attack sequences (the ones that catch the EKS/ECS/EC2-GPU compromise this org cares about) light up ONLY if Runtime Monitoring / EKS Protection / S3 Protection are individually enabled. The 'Enabled' badge implies a level of correlation that the account does not actually have, and there is no warning that ETD is running near-empty.","A multi-team org with EKS/GPU workloads sees 'Extended Threat Detection: Enabled' and assumes its crown-jewel container/instance workloads are covered by attack-sequence correlation. In reality, a container-escape-to-cryptomining-to-exfiltration chain on a GPU fleet produces NO AttackSequence finding unless Runtime Monitoring was separately enabled and its agent deployed — so the single most sophisticated detection capability is silently inert exactly where the proprietary IP lives.",Documented but Misleading,"https://docs.aws.amazon.com/guardduty/latest/ug/guardduty-extended-threat-detection.html — 'other attack sequences require advanced signals that are only available from advanced protection plans such as Runtime monitoring, S3 protection and EKS Audit Log Monitoring' and 'Extended Threat Detection for ECS requires Runtime Monitoring for Fargate or EC2'; EC2/ECS GA announcement https://aws.amazon.com/about-aws/whats-new/2025/12/guardduty-extended-threat-detection-ec2-ecs/ ('automatically enabled ... at no additional cost, its detection comprehensiveness depends on your enabled GuardDuty protection plans')."
AWS,visibility,"Security Hub as the multi-account posture brain: CSPM aggregation, security standards/scores, ASFF/OCSF normalization, cross-account + cross-region aggregation, and auto-enable for new org accounts",partial,"Security Hub provides genuine org-wide posture management: a delegated administrator aggregates findings across accounts, normalizes them to ASFF (and, in the new OCSF-based 'Security Hub' GA'd at re:Inforce 2025, correlates GuardDuty/Inspector/Macie/CSPM signals into 'exposure findings'), runs standards (AWS FSBP, CIS, PCI, NIST) and computes security scores. But almost nothing is default-on. Per AWS: 'By default, new accounts don't become Security Hub CSPM members when they join the organization. Their status is Not a member.' Auto-enable must be explicitly turned on (UpdateOrganizationConfiguration AutoEnable=true, or a central-configuration policy associated with the org root/OUs). Cross-Region aggregation is also opt-in: you must designate a home/aggregation Region and select linked Regions, and 'Security Hub CSPM is not automatically enabled for an account based on the cross-Region aggregation configuration' — so findings are siloed per-region until configured. Control findings additionally require AWS Config to be enabled and recording the required resource types in every account/region (a separate paid prerequisite). Cross-region replication itself is free; the underlying service, Config, and per-finding ingestion are billed.","For a multi-team org under one AWS Organization, the only service that aggregates posture across accounts is fully opt-in and assembled from several independently-toggled switches (designate delegated admin, enable auto-enable or a central-config policy, designate a home Region + linked Regions, enable AWS Config recording everywhere). Miss any one and you get a partial picture that looks complete: a new team's account silently sits at 'Not a member', and a workload in an un-linked region (e.g. a GPU fleet stood up in us-west-2 when the home Region is us-east-1) produces findings nobody sees in the aggregated view. The 2025 repackaging adds a doc-quality hazard: 'Security Hub' now denotes both the new OCSF correlation layer and the renamed 'Security Hub CSPM' (ASFF), so a phrase like 'Security Hub is enabled' is ambiguous about which product, which schema, and which capabilities are actually on.","Posture scoring and exposure correlation for proprietary-IP workloads can be silently incomplete across the org — unmonitored member accounts and unlinked regions are invisible in the central dashboard even though they hold source code, model weights, and sensitive S3 data. The naming collision makes it easy to believe full coverage exists when only the legacy CSPM checks (or only one region) are wired up.",Documented but Misleading,"https://docs.aws.amazon.com/securityhub/latest/userguide/accounts-orgs-auto-enable.html (""By default, new accounts don't become Security Hub CSPM members when they join the organization. Their status is Not a member.""); https://docs.aws.amazon.com/securityhub/latest/userguide/finding-aggregation.html (""Security Hub CSPM is not automatically enabled for an account based on the cross-Region aggregation configuration."")"
AWS,visibility,"Vuln + sensitive-data discovery layer beyond GuardDuty: Inspector (continuous CVE/EOL for EC2/ECR/Lambda, vs ECR basic Clair scanning), Macie (sensitive-data/IP discovery in S3), Detective (graph investigation) — enablement, delegation, and auto-on for new accounts",partial,"All three exist, are org-integrated via a delegated administrator, and can auto-enable new accounts — but each is opt-in, paid, and regional, and each carries a footgun. Inspector: once activated, all scan types (EC2, ECR, Lambda standard, Lambda code, Code Security) are on by default; it continuously rescans on new-package install, patch, and newly-published CVE. This is materially stronger than ECR's 'basic scanning,' which uses the open-source Clair DB, covers only OS packages, only scans on push/manual, and never auto-rescans against new CVEs — so an AMI/image flagged clean under basic scanning silently accrues unflagged CVEs over time. ECR 'enhanced scanning' IS Inspector (billed through Inspector, not ECR). Macie: the whole service is off until enabled; automated sensitive-data discovery is a further separate (paid) layer. In an org, the admin's autoEnableOrganizationMembers defaults to ALL once the org is enabled, but nothing runs until an admin explicitly turns Macie + automated discovery on per region. Detective: opt-in, graph-based investigation, with a hard prerequisite — 'make sure that your account has been enrolled in Amazon GuardDuty for at least 48 hours' or you cannot enable it; it can auto-enable new org accounts only after delegation.","Versus well-architected best practice, the brain of detection/posture (the answers to 'do our AMIs/containers carry known CVEs', 'is our IP sitting in an unencrypted/public bucket', and 'show me the blast radius of this account') is four separate opt-in subscriptions, each enabled per-region, each delegated independently, and each metered. The dangerous default is ECR basic scanning: it is the cheap, obvious-looking option, but its Clair OS-only, no-continuous-rescan model gives false comfort that container images are 'scanned.' Macie's two-step enablement (service, then automated discovery) means an org can have Macie 'on' while no bucket is actually being profiled for sensitive data. Detective's 48-hour GuardDuty gate means investigation tooling cannot be stood up reactively at incident time. New regions and new accounts are not covered unless auto-enable/org policy was configured in advance for each service.","An org protecting proprietary IP can believe it has CVE coverage (while relying on ECR basic scanning that never rescans), believe it has data-loss visibility (while Macie automated discovery was never switched on), and discover at incident time that Detective is unusable because the relevant account wasn't in GuardDuty 48 hours earlier. Model weights or source code in a mis-scoped or newly-created S3 bucket/account can go unscanned and unprofiled with no signal that coverage is missing.",Documented but Misleading,"https://docs.aws.amazon.com/inspector/latest/user/getting_started_tutorial.html (""When you activate Amazon Inspector for a standalone account, all scan types are activated by default""); https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-scanning-enhanced.html (enhanced scanning = Amazon Inspector, continuous); https://docs.aws.amazon.com/macie/latest/user/discovery-asdd-account-enable.html (automated discovery is separately enabled; autoEnableOrganizationMembers ALL/NEW/NONE); https://docs.aws.amazon.com/detective/latest/adminguide/detective-enabling.html (48-hour GuardDuty prerequisite)"
AWS,identity_granularity,Action-level granularity and explicit Deny: can a policy allow ec2:RebootInstances while denying ec2:RunInstances/ec2:TerminateInstances?,present,"IAM is genuinely action-level. Each API action is an independent string in the Action element, and explicit Deny always overrides Allow in the evaluation logic. A policy with Allow on ec2:RebootInstances (scoped to a specific instance ARN) plus an explicit Deny on ec2:RunInstances and ec2:TerminateInstances is valid and enforceable. The Service Authorization Reference lists every action as a discrete entity with its supported resource types and condition keys, so the litmus test passes cleanly. RebootInstances/StartInstances/StopInstances/TerminateInstances each support the 'instance' resource type for ARN-level scoping.","None on the core capability — action-level granularity and explicit Deny are real and expressible. The residual concern is that wildcards (ec2:*, ec2:Describe*) are equally easy to write, so granularity is available but not enforced by default.","For proprietary-IP workloads, the capability exists to write tightly-scoped operator roles (reboot but not destroy GPU instances). The risk is organizational discipline, not a platform limitation.",Documented,https://docs.aws.amazon.com/service-authorization/latest/reference/list_amazonec2.html and policy evaluation logic: https://docs.aws.amazon.com/IAM/latest/UserGuide/reference_policies_evaluation-logic.html (explicit deny overrides allow)
