platform,signal,probe,claim,verdict,correction,evidence,reconciled
AWS,visibility,Is the current CloudTrail eventVersion 1.11 as the draft states?,eventVersion is currently 1.11 and follows documented major/minor compatibility rules.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-record-contents.html,
AWS,visibility,Are sourceIPAddress and userIdentity marked Optional:False (always present)?,sourceIPAddress and userIdentity are marked Optional:False (always present); the listed top-level fields exist with documented Since versions.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-record-contents.html,
AWS,visibility,"Does the userIdentity element document invokedByDelegate, inScopeOf, onBehalfOf, credentialId, sessionContext/sessionIssuer/mfaAuthenticated/sourceIdentity, invokedBy, and tlsDetails as the draft claims?","userIdentity exhaustively documents type, principalId, arn, accountId, accessKeyId, sessionContext (sessionIssuer, mfaAuthenticated, sourceIdentity), invokedBy, onBehalfOf/credentialId for IAM Identity Center, inScopeOf for service-to-service, and a new invokedByDelegate field flagging actions by product providers via delegated access.",confirmed,"All fields confirmed. invokedByDelegate exists and contains the product-provider accountId of a party using temporary delegated access. inScopeOf carries sourceArn/sourceAccount/issuerType/credentialsIssuedTo (e.g. AWS::Lambda::Function), confirming the 'originating resource' framing.",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-event-reference-user-identity.html,
AWS,visibility,"Is CloudTrail Event history 90 days, management events only, free?","Event history is on automatically per Region, free, no setup, a 90-day rolling record of MANAGEMENT events only (no data events ever), viewable via console or LookupEvents.",confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/view-cloudtrail-events.html,
AWS,visibility,Are management events on by default while data events and network activity events are NOT logged by default and billed separately?,Management events are on by default for trails/event data stores; data events (S3/Lambda/DynamoDB/AI-ML) and network activity events (VPC-endpoint API calls) are NOT logged by default and incur additional charges.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-events.html,
AWS,visibility,"Are Amazon Bedrock InvokeModel-class operations data events that are NOT logged by default, as the 'Management vs DATA events' finding asserts?",Data events ... and notably AI/ML resource access such as Bedrock InvokeModel-class operations ... are NOT logged by default and incur additional per-event charges.,refuted,"Amazon Bedrock logs InvokeModel, InvokeModelWithResponseStream, Converse, and ConverseStream as MANAGEMENT events (the documented example shows ""managementEvent"": true and ""eventCategory"": ""Management""), so they ARE captured by default at no extra data-event charge. Only certain runtime ops are data events: InvokeModelWithBidirectionalStream, GetAsyncInvoke, StartAsyncInvoke, plus all Agents-for-Bedrock runtime ops (InvokeAgent, InvokeInlineAgent), Retrieve/RetrieveAndGenerate, InvokeFlow, RenderPrompt. The draft's premise that 'by default AWS records who changed configuration but NOT who invoked a model' is therefore wrong for the common Bedrock invocation APIs - the fact of the invocation (with principal, source IP, modelId) IS in the default management-event stream; what is NOT captured by CloudTrail is the prompt/response content (that requires Bedrock model invocation logging). Note SageMaker InvokeEndpoint remains a data event, so the SageMaker side of the claim still holds.",https://docs.aws.amazon.com/bedrock/latest/userguide/logging-using-cloudtrail.html,true
AWS,visibility,"Does CloudTrail capture Bedrock prompt/response content, or only the API call?",CloudTrail records the Bedrock API call (management/data event) but not the prompt/response content.,confirmed,,https://docs.aws.amazon.com/bedrock/latest/userguide/logging-using-cloudtrail.html,
AWS,visibility,"Is Amazon Bedrock model invocation logging disabled by default, with full prompt/response capture up to 100 KB to CloudWatch Logs and/or S3?","Bedrock model invocation logging captures full request/response data and metadata (input/output JSON bodies up to 100 KB) to CloudWatch Logs and/or S3, but is DISABLED by default and must be explicitly enabled per Region.",confirmed,,https://docs.aws.amazon.com/bedrock/latest/userguide/model-invocation-logging.html,
AWS,visibility,"Is CloudWatch Logs per-log-group retention configurable 1 day to 3653 days (10 years) with default 'Never Expire', including auto-created Lambda log groups?",CloudWatch Logs retention is configurable 1 day to 10 years (3653 days) or Never Expire; default for new log groups (including auto-created Lambda groups) is Never Expire (missing retentionInDays); must be set explicitly per log group.,confirmed,,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/Working-with-log-groups-and-streams.html,
AWS,visibility,Do CloudTrail Lake event data stores support up to 3653 days under EXTENDABLE_RETENTION_PRICING and up to 2557 days under FIXED_RETENTION_PRICING?,CloudTrail Lake event data stores retain up to 3653 days (~10 years) under EXTENDABLE_RETENTION_PRICING or up to 2557 days (~7 years) under FIXED_RETENTION_PRICING.,confirmed,,https://docs.aws.amazon.com/awscloudtrail/latest/APIReference/API_CreateEventDataStore.html,
